study_id,stage,estimand,analysis_id,analysis_label,set_id,entry_setting,test_type,timepoint_months,overlap_cluster,include_pool,decision_note
GIANNINI2019,E3,"Shunt receipt among diagnosed iNPH (derived)",P2_DIAGNOSED_TO_SHUNT,"Diagnosed/probable iNPH to shunt",primary,"Specialist referral clinic",, ,Bologna,TRUE,"Derived treatment receipt among diagnosed iNPH"
MARTINLAEZ2016,E3,"Shunt receipt among diagnosed iNPH",P2_DIAGNOSED_TO_SHUNT,"Diagnosed/probable iNPH to shunt",primary,"Defined-catchment referral",, ,,TRUE,"Diagnosed iNPH denominator"
PYYKKO2018,E3,"Shunt receipt among diagnosed iNPH",P2_DIAGNOSED_TO_SHUNT,"Diagnosed/probable iNPH to shunt",primary,"Defined-population referral registry",, ,Kuopio,TRUE,"Primary Kuopio report for this estimand"
RAZAY2019,E3,"Shunt receipt among diagnosed iNPH",P2_DIAGNOSED_TO_SHUNT,"Diagnosed/probable iNPH to shunt",primary,"Memory clinic",, ,,TRUE,"Diagnosed iNPH denominator"
BECHAZEDDINE2001,E3,"Shunt receipt among diagnosed iNPH",P2_DIAGNOSED_TO_SHUNT,"Diagnosed/probable iNPH to shunt",primary,"Memory clinic",, ,,TRUE,"Diagnosed iNPH denominator"
BELZILE2026,E4,"End-to-end shunt receipt among probable iNPH",P2_DIAGNOSED_TO_SHUNT,"Diagnosed/probable iNPH to shunt",primary,"Probable iNPH after tap test",Tap test, ,,TRUE,"Probable iNPH denominator despite source stage E4"
POUDEL2026,E3,"Shunt receipt among probable iNPH",P2_DIAGNOSED_TO_SHUNT,"Diagnosed/probable iNPH to shunt",primary,"Probable iNPH cohort",Tap test, ,,TRUE,"Probable iNPH denominator"
ALHUSAINI2024,E3,"Shunt receipt among surgical candidates",P2_DIAGNOSED_TO_SHUNT,"Diagnosed/probable iNPH to shunt",broad_selected,"Multidisciplinary referral clinic",, ,,TRUE,"Candidate denominator includes three secondary NPH cases"
KURIYAMA2017,E3,"Shunt receipt in second-stage patient sample",P2_DIAGNOSED_TO_SHUNT,"Diagnosed/probable iNPH to shunt",broad_survey,"Nationwide hospital survey sample",, ,JapanSurvey2012,TRUE,"Survey forms rather than an inception cohort"
NAKAJIMA2018,E3,"Shunt receipt among analytic possible-iNPH cohort",P2_DIAGNOSED_TO_SHUNT,"Diagnosed/probable iNPH to shunt",overlap_alternative,"Nationwide hospital survey sample",, ,JapanSurvey2012,TRUE,"Alternative report from the same survey cluster"
MARMAROU2005,E4,"Shunt receipt among all evaluated patients",P2_DIAGNOSED_TO_SHUNT,"Diagnosed/probable iNPH to shunt",broad_selected,"Clinical iNPH protocol cohort",ELD, ,VCU,TRUE,"Clinical iNPH entry definition broader than guideline-confirmed probable iNPH"
GIANNINI2019,E1,"iNPH diagnosis among initial referrals (derived)",S1_REFERRAL_TO_DIAGNOSIS,"Initial suspicion/referral to iNPH diagnosis",primary,"Specialist referral clinic",, ,Bologna,TRUE,"Derived diagnostic yield from initial referrals"
ALHUSAINI2024,E1,"Probable iNPH among referrals",S1_REFERRAL_TO_DIAGNOSIS,"Initial suspicion/referral to iNPH diagnosis",primary,"Multidisciplinary referral clinic",, ,,TRUE,"Probable iNPH among referrals"
MARTINLAEZ2016,E1,"iNPH diagnosis among suspected referrals",S1_REFERRAL_TO_DIAGNOSIS,"Initial suspicion/referral to iNPH diagnosis",primary,"Defined-catchment referral",, ,,TRUE,"Diagnosed iNPH among suspected referrals"
PYYKKO2018,E1,"Clinical iNPH diagnosis among possible iNPH",S1_REFERRAL_TO_DIAGNOSIS,"Initial suspicion/referral to iNPH diagnosis",primary,"Defined-population referral registry",, ,Kuopio,TRUE,"Primary Kuopio diagnostic-yield report"
BECHAZEDDINE2001,E1,"iNPH diagnosis among suspected memory-clinic referrals (derived)",S1_REFERRAL_TO_DIAGNOSIS,"Initial suspicion/referral to iNPH diagnosis",primary,"Memory-clinic suspected referrals",, ,,TRUE,"Derived diagnostic yield from suspected referrals"
BREAN2008,E1,"Probable iNPH among initial referrals (derived)",S1_REFERRAL_TO_DIAGNOSIS,"Initial suspicion/referral to iNPH diagnosis",primary,"Active population-referral ascertainment",, ,Vestfold,TRUE,"Active ascertainment may elevate referral yield"
RAZAY2019,E1,"iNPH diagnosis among memory-clinic patients",S1_REFERRAL_TO_DIAGNOSIS,"Initial suspicion/referral to iNPH diagnosis",broad_setting,"All-comer memory clinic",, ,,TRUE,"Denominator is all memory-clinic patients"
POUDEL2026,E1,"Probable iNPH after screening",S1_REFERRAL_TO_DIAGNOSIS,"Initial suspicion/referral to iNPH diagnosis",broad_selected,"Possible iNPH screened in a specialist cohort",Tap test, ,,TRUE,"Small selected cohort"
GALLINA2018,E2,"Completed 1-day ELD among attempted procedures",S2_TEST_COMPLETION,"Completion of study-defined planned specialized/invasive work-up",primary,"ELD-selected cohort",ELD, ,,TRUE,"Attempted-to-completed procedure"
KLASSEN2011,E2,"High-volume lumbar puncture completed among invasively evaluated suspected NPH",S2_TEST_COMPLETION,"Completion of study-defined planned specialized/invasive work-up",primary,"Invasively evaluated suspected cohort",HVLP, ,,TRUE,"Planned diagnostic procedure completion"
OIKE2021,E2,"Tap-test completion among possible iNPH",S2_TEST_COMPLETION,"Completion of study-defined planned specialized/invasive work-up",primary,"High-risk fall screening cohort",Tap test, ,,TRUE,"Possible iNPH selected for tap testing"
MAHR2016,E2,"External lumbar drainage completed/used in analyzed cohort",S2_TEST_COMPLETION,"Completion of study-defined planned specialized/invasive work-up",primary,"Consecutive suspected cohort",ELD, ,,TRUE,"Three patients received high-volume tap instead"
MOREL2026,E2,"Tap test completed among patients selected for further investigation",S2_TEST_COMPLETION,"Completion of study-defined planned specialized/invasive work-up",primary,"Multidisciplinary implementation cohort",Tap test, ,,TRUE,"Selected-for-investigation denominator"
MACKI2020,E2,"Tap test completed among CSF-removal referrals",S2_TEST_COMPLETION,"Completion of study-defined planned specialized/invasive work-up",primary,"Multidisciplinary NPH conference",Tap test, ,HenryFord,TRUE,"Some patients may enter overlapping ELD pathways"
BREAN2008,E2,"Completed full assessment among clinically included",S2_TEST_COMPLETION,"Completion of study-defined planned specialized/invasive work-up",primary,"Active population-referral ascertainment",Lumbar puncture, ,Vestfold,TRUE,"One technically impossible procedure"
GALLINA2018,E3,"Shunt receipt among ELD-positive patients",S3_TEST_POSITIVE_TO_SHUNT,"Positive prognostic test to shunt",primary,"ELD-selected cohort",ELD, ,,TRUE,"Positive ELD denominator"
KLASSEN2011,E3,"Shunt receipt among HVLP-positive patients",S3_TEST_POSITIVE_TO_SHUNT,"Positive prognostic test to shunt",primary,"Invasively evaluated suspected cohort",HVLP, ,,TRUE,"Positive HVLP denominator"
OIKE2021,E3,"Shunt receipt among probable iNPH",S3_TEST_POSITIVE_TO_SHUNT,"Positive prognostic test to shunt",primary,"High-risk fall screening cohort",Tap test, ,,TRUE,"Probable iNPH after positive tap test"
JUNKKARI2019,E3,"Shunt receipt among tap-test-positive",S3_TEST_POSITIVE_TO_SHUNT,"Positive prognostic test to shunt",primary,"Protocol referral registry",Tap test, ,Kuopio,TRUE,"Tap-positive group chosen as the one Kuopio effect"
MARMAROU2005,E3,"Shunt receipt among ELD-positive patients",S3_TEST_POSITIVE_TO_SHUNT,"Positive prognostic test to shunt",primary,"Clinical iNPH protocol cohort",ELD, ,VCU,TRUE,"Positive ELD denominator"
MAHR2016,E3,"Neurosurgical treatment among test-positive patients",S3_TEST_POSITIVE_TO_SHUNT,"Positive prognostic test to shunt",broad_treatment,"Consecutive suspected cohort",ELD, ,,TRUE,"Includes two initial ETV procedures and is not strictly shunt receipt"
JUNKKARI2019,E3,"Shunt receipt among infusion-test-positive",S3_TEST_POSITIVE_TO_SHUNT,"Positive prognostic test to shunt",within_study_alternative,"Sequential tap-negative cohort",Infusion, ,Kuopio,TRUE,"Do not combine with the same-study tap-positive effect in one standard model"
MOREL2026,E3,"Shunt performed among patients with recommendation",S4_RECOMMENDATION_TO_SHUNT,"Surgical referral/recommendation to shunt",primary,"Multidisciplinary implementation cohort",, ,,TRUE,"Recommendation-to-operation implementation"
BELZILE2026,E3,"Shunt receipt among referred patients",S4_RECOMMENDATION_TO_SHUNT,"Surgical referral/recommendation to shunt",primary,"Probable iNPH after tap test",Tap test, ,,TRUE,"Five referred patients declined"
MACKI2020,E3,"Shunt receipt among surgical referrals",S4_RECOMMENDATION_TO_SHUNT,"Surgical referral/recommendation to shunt",primary,"Multidisciplinary NPH conference",Tap test, ,HenryFord,TRUE,"Positive/referred denominator"
GALLINA2018,E6,"Clinical response at 12 months among shunted",S5_POSTSHUNT_RESPONSE_6_12M,"Clinical response approximately 6–12 months after CSF diversion",primary,"ELD-selected cohort",ELD,12,,TRUE,"Twelve-month response"
ALHUSAINI2024,E6,"Response at 12 months among shunted",S5_POSTSHUNT_RESPONSE_6_12M,"Clinical response approximately 6–12 months after CSF diversion",primary,"Multidisciplinary referral clinic",,12,,TRUE,"Twelve-month response"
MARTINLAEZ2016,E6,"Good outcome at 6 months among shunted",S5_POSTSHUNT_RESPONSE_6_12M,"Clinical response approximately 6–12 months after CSF diversion",primary,"Defined-catchment referral",,6,,TRUE,"Six-month study-defined good outcome"
MAHR2016,E6,"Twelve-month improvement among treated test-positive patients",S5_POSTSHUNT_RESPONSE_6_12M,"Clinical response approximately 6–12 months after CSF diversion",primary,"Consecutive suspected cohort",ELD,12,,TRUE,"Includes initial ETV in two patients; retain strict model only if treatment definition is accepted"
POUDEL2026,E6,"At least one-point mRS improvement at 24 weeks among operated",S5_POSTSHUNT_RESPONSE_6_12M,"Clinical response approximately 6–12 months after CSF diversion",primary,"Probable iNPH cohort",Tap test,6,,TRUE,"Twenty-four-week mRS response"
ANILE2010,E6,"Clinical improvement among shunted patients",S5_POSTSHUNT_RESPONSE_6_12M,"Clinical response approximately 6–12 months after CSF diversion",broad_time_unclear,"Historical infusion cohort",Infusion, ,,TRUE,"Follow-up definition not harmonized with strict window"
BECHAZEDDINE2001,E6,"Improvement among followed shunted iNPH",S5_POSTSHUNT_RESPONSE_6_12M,"Clinical response approximately 6–12 months after CSF diversion",broad_time_unclear,"Memory clinic",, ,,TRUE,"Small followed subset and timepoint not harmonized"
BELZILE2026,E6,"Overall improvement among shunted patients with follow-up",S5_POSTSHUNT_RESPONSE_6_12M,"Clinical response approximately 6–12 months after CSF diversion",broad_time_unclear,"Probable iNPH after tap test",Tap test, ,,TRUE,"Outcome timepoint not yet harmonized"
MARMAROU2005,E6,"Clinical response among shunted patients",S5_POSTSHUNT_RESPONSE_6_12M,"Clinical response approximately 6–12 months after CSF diversion",broad_time_unclear,"Clinical iNPH protocol cohort",ELD, ,VCU,TRUE,"Outcome timepoint not yet harmonized"
PYYKKO2018,E6,"Positive response among shunted",S5_POSTSHUNT_RESPONSE_6_12M,"Clinical response approximately 6–12 months after CSF diversion",broad_early,"Defined-population referral registry",,3,Kuopio,TRUE,"Two-to-three-month response; outside strict window"
JUNKKARI2019,E6,"Favorable clinical outcome among shunted with reported outcome",S5_POSTSHUNT_RESPONSE_6_12M,"Clinical response approximately 6–12 months after CSF diversion",overlap_alternative,"Protocol referral registry",, ,Kuopio,TRUE,"Alternative Kuopio outcome report"

