study_id,tool,domain_id,domain_label,judgment,support_for_judgment,reviewer_1,reviewer_2,consensus_note
BREAN2008,JBI-informed common-domain framework,D3,Identification and measurement,Low,"Catchment, referral approach and assessment were described. Probable iNPH was identified using explicit clinical and imaging criteria. The diagnostic evaluation was standardized.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
BREAN2008,JBI-informed common-domain framework,D4,Response and follow-up,Low,The relevant referral-to-diagnosis endpoint did not require prolonged follow-up and the cohort flow was reported.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
BREAN2008,JBI-informed common-domain framework,D5,Analysis and reporting,Low,The reported proportions and denominators were appropriate for the diagnostic-yield estimand.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
BREAN2008,JBI-informed common-domain framework,D6,Overall,Some concerns,"Active ascertainment and modest sample size may affect representativeness, but measurement and reporting were otherwise sound.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ANILE2010,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,A historical clinical cohort from a specialist service was used. Inclusion and treatment selection depended on clinical practice over a long period.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ANILE2010,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Some concerns,The cohort included 120 assessed patients. Only treated patients contributed to some downstream outcome descriptions.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ANILE2010,JBI-informed common-domain framework,D3,Identification and measurement,High,"Clinical criteria, testing and the three eras were described. Selection criteria changed materially across the 1977-2005 eras, threatening comparability of the stage definition. Testing was described, but measurement and treatment thresholds changed over time.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ANILE2010,JBI-informed common-domain framework,D4,Response and follow-up,Some concerns,"Long historical follow-up was reported for treated patients, but the complete untreated pathway was less clear.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ANILE2010,JBI-informed common-domain framework,D5,Analysis and reporting,Some concerns,Era comparisons were not fully protected from temporal confounding.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ANILE2010,JBI-informed common-domain framework,D6,Overall,High,Material changes in diagnostic and shunt-selection thresholds across eras directly affect the estimated transition proportions.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KLASSEN2011,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,"Population linkage was a strength, but operational suspicion required evaluation sufficient to prompt an invasive procedure. Cases without invasive evaluation could not enter the analytic cohort.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KLASSEN2011,JBI-informed common-domain framework,D2,Sample size and analytic coverage,High,"Only 41 patients formed the principal cohort, with very small downstream treatment cells. Only a subset had locally observable shunt outcomes.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KLASSEN2011,JBI-informed common-domain framework,D3,Identification and measurement,Some concerns,"The population, clinical evaluation and procedure-defined entry were described. Clinical suspicion and invasive evaluation were used as entry criteria, which may differ from broader suspected-iNPH definitions. Procedure completion and test findings were objectively ascertainable.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KLASSEN2011,JBI-informed common-domain framework,D4,Response and follow-up,High,"Only 12 local shunt outcomes were available, creating substantial incomplete outcome ascertainment.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KLASSEN2011,JBI-informed common-domain framework,D5,Analysis and reporting,Low,Simple stage proportions were appropriate for the available data.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KLASSEN2011,JBI-informed common-domain framework,D6,Overall,High,Small cells and incomplete downstream treatment ascertainment create a high risk of bias for treatment-transition estimates.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MAHR2016,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,The sample was a selected specialist cohort with suspicious clinical and MRI findings. Consecutive patients were prospectively evaluated.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MAHR2016,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Some concerns,Sixty-eight patients contributed to the final analysis. Six enrolled patients were excluded from analysis.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MAHR2016,JBI-informed common-domain framework,D3,Identification and measurement,Low,"The cohort and multimodal testing protocol were described in detail. Suspected iNPH and test positivity were defined using explicit criteria. LIFT, ICP monitoring and ELD were performed using standardized methods.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MAHR2016,JBI-informed common-domain framework,D4,Response and follow-up,Some concerns,Post-enrollment exclusions and inconsistent denominators require caution.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MAHR2016,JBI-informed common-domain framework,D5,Analysis and reporting,Some concerns,Multiple predictive analyses and internal count/timepoint inconsistencies reduce confidence in complete reporting.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MAHR2016,JBI-informed common-domain framework,D6,Overall,Some concerns,"Prospective consecutive testing is strong, but exclusions and internal reporting inconsistencies remain.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MARTINLAEZ2016,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,"A stable, defined catchment population and prospective referral pathway were used. Periodic informational letters and lectures may have increased ascertainment relative to routine practice.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MARTINLAEZ2016,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Low,The cohort included 293 referrals with adequate downstream events. The complete referral cohort was represented in the diagnostic and treatment flow.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MARTINLAEZ2016,JBI-informed common-domain framework,D3,Identification and measurement,Low,"Catchment, referral process, diagnostic work-up and attrition flow were described. Probable/possible iNPH and shunt candidacy were explicitly classified. Clinical, radiologic and physiologic assessments followed a structured protocol.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MARTINLAEZ2016,JBI-informed common-domain framework,D4,Response and follow-up,Low,"Reasons for attrition, death or loss to follow-up were documented in the flow.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MARTINLAEZ2016,JBI-informed common-domain framework,D5,Analysis and reporting,Low,Stage-specific analyses and confidence intervals were appropriate.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MARTINLAEZ2016,JBI-informed common-domain framework,D6,Overall,Some concerns,The principal limitation is enhanced ascertainment from an active referral campaign rather than incomplete or invalid measurement.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KURIYAMA2017,JBI-informed common-domain framework,D1,Sample frame and sampling,Low,The first-stage sampling frame included Japanese hospitals with stratified sampling. Sampling fractions were prespecified and high-volume departments were deliberately fully sampled.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KURIYAMA2017,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Some concerns,The second-stage patient sample was large. First-stage estimated totals and second-stage patient forms required separation and were not interchangeable.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KURIYAMA2017,JBI-informed common-domain framework,D3,Identification and measurement,Some concerns,"Hospital strata, diagnostic criteria and survey stages were described. Diagnosis was reported by participating hospitals using guideline-based categories rather than centrally adjudicated. Survey-reported clinical and treatment data may vary between hospitals.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KURIYAMA2017,JBI-informed common-domain framework,D4,Response and follow-up,High,"The first-stage response rate was 42.7%, creating substantial nonresponse risk.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KURIYAMA2017,JBI-informed common-domain framework,D5,Analysis and reporting,Low,Weighted national estimates used the sampling and response fractions.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
KURIYAMA2017,JBI-informed common-domain framework,D6,Overall,High,Low national survey response and hospital-reported ascertainment could materially bias treatment and diagnostic proportions.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GALLINA2018,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,The cohort was selected for 1-day ELD in a tertiary diagnostic pathway. Patients were reported as a retrospective consecutive cohort.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GALLINA2018,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Some concerns,"The cohort included 93 ELD attempts. Only a small fraction of test-negative patients underwent shunting, limiting complete verification.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GALLINA2018,JBI-informed common-domain framework,D3,Identification and measurement,Low,"Eligibility, ELD technique and clinical outcomes were described. Test completion and positivity were explicitly defined. ELD and gait-response assessment followed a defined protocol.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GALLINA2018,JBI-informed common-domain framework,D4,Response and follow-up,Some concerns,Outcome verification was selected among test-negative patients.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GALLINA2018,JBI-informed common-domain framework,D5,Analysis and reporting,Low,Stage-specific proportions were directly estimable and appropriate.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GALLINA2018,JBI-informed common-domain framework,D6,Overall,Some concerns,"Consecutive inclusion and standardized testing are strengths, but selected verification remains.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
NAKAJIMA2018,JBI-informed common-domain framework,D1,Sample frame and sampling,Low,The study derived from the nationwide hospital survey frame. The parent survey used stratified hospital sampling.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
NAKAJIMA2018,JBI-informed common-domain framework,D2,Sample size and analytic coverage,High,The patient sample was large. Reported tap-test categories summed to a denominator different from the stated analytic cohort.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
NAKAJIMA2018,JBI-informed common-domain framework,D3,Identification and measurement,Some concerns,Survey population and diagnostic categories were described. Diagnosis and test use were hospital reported rather than centrally adjudicated. Measurement could vary across facilities.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
NAKAJIMA2018,JBI-informed common-domain framework,D4,Response and follow-up,High,The analysis inherits the low response and nonresponse limitations of the parent nationwide survey.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
NAKAJIMA2018,JBI-informed common-domain framework,D5,Analysis and reporting,High,Internally inconsistent denominators prevent unambiguous reconstruction of some proportions.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
NAKAJIMA2018,JBI-informed common-domain framework,D6,Overall,High,Denominator inconsistency and inherited survey nonresponse directly threaten the extracted estimates.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
PYYKKO2018,JBI-informed common-domain framework,D1,Sample frame and sampling,Low,A defined-population registry and referral catchment were used. Registry ascertainment covered referred cases in the catchment.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
PYYKKO2018,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Low,The cohort included 536 patients entering the pathway. The end-to-end flow was available for the registry cohort.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
PYYKKO2018,JBI-informed common-domain framework,D3,Identification and measurement,Some concerns,"Population, registry protocol and outcomes were described. Diagnostic practices evolved across the registry period. Registry measurements were clinically structured but not necessarily uniform across time.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
PYYKKO2018,JBI-informed common-domain framework,D4,Response and follow-up,Low,Treatment status was available for the registry cohort.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
PYYKKO2018,JBI-informed common-domain framework,D5,Analysis and reporting,Low,The extracted proportions were directly supported by reported counts.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
PYYKKO2018,JBI-informed common-domain framework,D6,Overall,Some concerns,"The main concerns are temporal evolution of diagnostic practice and overlap with related Kuopio publications, which was controlled analytically.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GIANNINI2019,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,The study represents a single specialist referral pathway rather than all suspected patients in the community. Prospective enrollment and a structured pathway were used.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GIANNINI2019,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Some concerns,The cohort included 154 initial referrals. Research participation refusal and ongoing patients required explicit separation from clinical attrition.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GIANNINI2019,JBI-informed common-domain framework,D3,Identification and measurement,Low,"The referral cohort, protocol and flow were clearly described. Diagnosis and candidacy were determined through a multidisciplinary structured protocol. Clinical and instrumental assessments were standardized.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GIANNINI2019,JBI-informed common-domain framework,D4,Response and follow-up,Some concerns,Some patients were still progressing through the pathway at publication and a small number were lost.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GIANNINI2019,JBI-informed common-domain framework,D5,Analysis and reporting,Low,The flow supported direct calculation of each transition.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
GIANNINI2019,JBI-informed common-domain framework,D6,Overall,Some concerns,Strong prospective measurement is offset by single-center selection and incomplete pathway maturation at publication.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
JUNKKARI2019,JBI-informed common-domain framework,D1,Sample frame and sampling,High,"The report arose from a defined registry pathway. Eighty-eight of 341 identified patients were excluded from the research cohort, mainly for nonstandard gait assessment.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
JUNKKARI2019,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Some concerns,The analyzed cohort remained adequately sized. Two shunted patients lay outside the four principal prognostic groups and outcome denominators varied slightly.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
JUNKKARI2019,JBI-informed common-domain framework,D3,Identification and measurement,Some concerns,"Registry criteria, prognostic groups and treatment were described. Diagnostic and prognostic grouping followed a structured protocol. Exclusion based on nonstandard gait assessment indicates measurement nonuniformity in the source cohort.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
JUNKKARI2019,JBI-informed common-domain framework,D4,Response and follow-up,Some concerns,One treated patient lacked the reported favorable-outcome assessment.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
JUNKKARI2019,JBI-informed common-domain framework,D5,Analysis and reporting,Some concerns,Derived overall response required careful reconciliation of 175-177 treated patients.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
JUNKKARI2019,JBI-informed common-domain framework,D6,Overall,High,Research-cohort exclusions based on measurement availability may materially select the analyzed pathway.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
RAZAY2019,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,The frame was a specialist memory-clinic population. Patients were prospectively evaluated through the clinic pathway.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
RAZAY2019,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Some concerns,The diagnosed cohort was modest. Shunt receipt was available for the diagnosed cohort.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
RAZAY2019,JBI-informed common-domain framework,D3,Identification and measurement,Low,"Diagnostic criteria, baseline characteristics and follow-up were described. Guideline-based diagnostic classification was used. Clinical assessment was structured.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
RAZAY2019,JBI-informed common-domain framework,D4,Response and follow-up,Some concerns,"Only 25 of 29 shunted patients had analyzable follow-up, although treatment receipt itself was ascertainable.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
RAZAY2019,JBI-informed common-domain framework,D5,Analysis and reporting,Low,The stage proportions were appropriately reported.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
RAZAY2019,JBI-informed common-domain framework,D6,Overall,Some concerns,"The principal limitations are specialist referral selection, modest size and incomplete outcome follow-up.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MACKI2020,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,Entry required referral to a multidisciplinary conference. The retrospective conference cohort was systematically assembled.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MACKI2020,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Some concerns,Approximately 330 patients entered the pathway. Source denominators were reported as both 328 and 330 and tap/ELD pathways overlapped.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MACKI2020,JBI-informed common-domain framework,D3,Identification and measurement,Some concerns,Conference process and diagnostic reclassification were described. Diagnostic reclassification incorporated multidisciplinary judgment without a single uniform test pathway. Tap-test and ELD assessments were not identical across patients.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MACKI2020,JBI-informed common-domain framework,D4,Response and follow-up,Low,Conference recommendation and shunt status were reported for the relevant cohort.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MACKI2020,JBI-informed common-domain framework,D5,Analysis and reporting,Some concerns,Overlapping pathways required nonserial interpretation of stage counts.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MACKI2020,JBI-informed common-domain framework,D6,Overall,Some concerns,"Retrospective selection, small denominator discrepancies and overlapping test pathways require caution.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
OIKE2021,JBI-informed common-domain framework,D1,Sample frame and sampling,High,The intended high-risk population was elderly fall presenters. Only 235 of 559 fall presenters underwent CT; 51.7% were not imaged and could not enter the internal cascade.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
OIKE2021,JBI-informed common-domain framework,D2,Sample size and analytic coverage,High,"The CT-screened cohort was adequately sized for its internal estimates. The analyzed sample excluded most eligible fall presenters, limiting coverage of the source population.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
OIKE2021,JBI-informed common-domain framework,D3,Identification and measurement,Low,"Setting, CT screening and follow-up pathway were described. Imaging suspicion and subsequent testing were explicitly defined. CT-based screening and the internal pathway were consistently measured.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
OIKE2021,JBI-informed common-domain framework,D4,Response and follow-up,Some concerns,Downstream evaluation was incomplete for some screen-positive patients.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
OIKE2021,JBI-informed common-domain framework,D5,Analysis and reporting,Low,"Within the CT-selected cohort, proportions were directly estimable.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
OIKE2021,JBI-informed common-domain framework,D6,Overall,High,Large selective non-imaging of the source fall population threatens representativeness and overall screening yield.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ALHUSAINI2024,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,A single fast-track tertiary referral clinic was evaluated. New referrals were prospectively tracked through implementation.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ALHUSAINI2024,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Low,The cohort included 111 referrals. The referral-to-treatment flow was reported for the cohort.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ALHUSAINI2024,JBI-informed common-domain framework,D3,Identification and measurement,Some concerns,"Clinic structure, population and pathway were reported. Three patients had secondary NPH, introducing limited population heterogeneity. Multidisciplinary clinical and imaging assessments were standardized.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ALHUSAINI2024,JBI-informed common-domain framework,D4,Response and follow-up,Low,Treatment and short-term response status were available for the reported cohort.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ALHUSAINI2024,JBI-informed common-domain framework,D5,Analysis and reporting,Low,Stage proportions were appropriately calculated; no causal pre/post effect was claimed.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
ALHUSAINI2024,JBI-informed common-domain framework,D6,Overall,Some concerns,Single-center referral selection and minor population heterogeneity limit transportability more than internal validity.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
BELZILE2026,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,The retrospective cohort came from a specialist clinical assessment program. Eligible assessed patients were included according to the clinic record.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
BELZILE2026,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Low,The cohort included 175 assessed patients. Referral and shunt counts were available for the assessed cohort.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
BELZILE2026,JBI-informed common-domain framework,D3,Identification and measurement,Some concerns,"Clinical measures, referral decision and cohort characteristics were described. Referral depended partly on post-test clinical judgment, creating incorporation of subjective decision-making. Objective measures were defined and extracted systematically.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
BELZILE2026,JBI-informed common-domain framework,D4,Response and follow-up,Some concerns,"Postoperative follow-up was incomplete, although referral and shunt receipt were largely ascertainable.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
BELZILE2026,JBI-informed common-domain framework,D5,Analysis and reporting,Low,Analyses were appropriate for referral prediction and stage counts.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
BELZILE2026,JBI-informed common-domain framework,D6,Overall,Some concerns,Retrospective referral selection and clinician-judgment incorporation are the main concerns.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MOREL2026,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,A single interdisciplinary implementation clinic was studied. Consecutive evaluated patients were followed through the protocol.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MOREL2026,JBI-informed common-domain framework,D2,Sample size and analytic coverage,Some concerns,The cohort included 86 evaluations and smaller recommendation/treatment cells. Board review and tap-test stages were not strictly serial.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MOREL2026,JBI-informed common-domain framework,D3,Identification and measurement,Low,Protocol stages and multidisciplinary board were described. Diagnostic and recommendation decisions followed a predefined interdisciplinary protocol. Clinical testing was standardized.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MOREL2026,JBI-informed common-domain framework,D4,Response and follow-up,Some concerns,Some recommended patients were still awaiting surgery at publication.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MOREL2026,JBI-informed common-domain framework,D5,Analysis and reporting,Some concerns,Nonserial stages require careful denominator-specific analysis.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
MOREL2026,JBI-informed common-domain framework,D6,Overall,Some concerns,"Consecutive protocol use is a strength, but small cells, nonserial stages and incomplete pathway maturation remain.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
POUDEL2026,JBI-informed common-domain framework,D1,Sample frame and sampling,Some concerns,A small single-center specialist cohort was used. Patients were prospectively screened and evaluated.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
POUDEL2026,JBI-informed common-domain framework,D2,Sample size and analytic coverage,High,"Only 48 were screened and 40 classified as probable iNPH, producing sparse operated/nonoperated groups. A small number of outcomes required reconciliation across text and tables.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
POUDEL2026,JBI-informed common-domain framework,D3,Identification and measurement,Low,"Screening, diagnosis, operation status and follow-up were described. Probable iNPH and tap-test response were prospectively defined. Tap-test and functional assessments followed a clinical protocol.",Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
POUDEL2026,JBI-informed common-domain framework,D4,Response and follow-up,Some concerns,Follow-up was short and outcome completeness was limited.,Initial author assessment,Second author verification,Author-team consensus; all authors reviewed and approved the final judgment
