study_id,year,data_level,stage,estimand,numerator,denominator,proportion,complement,pooling_stratum,pool,notes,source_location,url,source_type,effect_key
THAVARAJASINGAM2024,2024,Discharges/procedures,A1,"Aggregate surgical interventions divided by aggregate NPH diagnoses, 2005-2022",29662,118526,0.25025732750620117,0.7497426724937988,Administrative time series,Do not pool,Not a patient probability: repeated admissions/procedures and G91.2 includes NPH beyond confirmed iNPH,Abstract / Tables,https://doi.org/10.1038/s41598-024-79569-8,reported,"THAVARAJASINGAM2024||A1||Aggregate surgical interventions divided by aggregate NPH diagnoses, 2005-2022"
KLASSEN2011,2011,Patients,E5,Objective improvement after high-volume lumbar puncture,14,38,0.3684210526315789,0.631578947368421,Test positivity,Yes,Objective gait improvement after HVLP,Results,NA,reported,KLASSEN2011||E5||Objective improvement after high-volume lumbar puncture
KLASSEN2011,2011,Patients,E6,Definite gait improvement at 3-6 months among locally shunted,9,12,0.75,0.25,Post-shunt response - early gait,Conditional,One of 13 shunted had outcome unavailable because surgery occurred at another facility,Results,NA,reported,KLASSEN2011||E6||Definite gait improvement at 3-6 months among locally shunted
KLASSEN2011,2011,Patients,E6,Definite gait improvement at 3 years among locally shunted,4,12,0.3333333333333333,0.6666666666666667,Post-shunt response - 3-year gait,Conditional,Sustained response; small cohort,Results,NA,reported,KLASSEN2011||E6||Definite gait improvement at 3 years among locally shunted
HASSELBALCH2023,2023,Patients,E6,Overall positive response among shunted,104,127,0.8188976377952756,0.18110236220472442,Post-shunt response - treatment-conditioned,Context only,Mean follow-up 7.4 months; inclusion required shunt and follow-up,Table 2,https://doi.org/10.1111/ene.15981,reported,HASSELBALCH2023||E6||Overall positive response among shunted
HASSELBALCH2023,2023,Patients,E6,Positive gait/balance effect among shunted,91,127,0.7165354330708661,0.2834645669291339,Post-shunt response - gait,Context only,Outcome domain differs from overall response definition,Table 2,https://doi.org/10.1111/ene.15981,reported,HASSELBALCH2023||E6||Positive gait/balance effect among shunted
HASSELBALCH2023,2023,Patients,E6,Positive urinary-continence effect among shunted,58,127,0.4566929133858268,0.5433070866141732,Post-shunt response - urinary,Context only,Outcome domain differs from overall response definition,Table 2,https://doi.org/10.1111/ene.15981,reported,HASSELBALCH2023||E6||Positive urinary-continence effect among shunted
HASSELBALCH2023,2023,Patients,E6,Positive cognitive effect among shunted,44,127,0.3464566929133858,0.6535433070866141,Post-shunt response - cognition,Context only,Outcome domain differs from overall response definition,Table 2,https://doi.org/10.1111/ene.15981,reported,HASSELBALCH2023||E6||Positive cognitive effect among shunted
YU2025,2025,Patients,P0,Qualifying recent brain MRI among age-eligible DCM surgery patients,83,210,0.3952380952380952,0.6047619047619048,Research ascertainment/selection,Do not pool,The final cohort was selected on MRI availability; this is not a clinical screening rate,Figure 1 / Methods,https://doi.org/10.1007/s00586-025-08945-3,reported,YU2025||P0||Qualifying recent brain MRI among age-eligible DCM surgery patients
YU2025,2025,Patients,P1,Evans index >0.3 among MRI-selected DCM surgery cohort,31,83,0.37349397590361444,0.6265060240963856,High-risk imaging-screen yield,Context only,Authors label this suspected iNPH; EI alone is not a clinical diagnosis,Results,https://doi.org/10.1007/s00586-025-08945-3,reported,YU2025||P1||Evans index >0.3 among MRI-selected DCM surgery cohort
YU2025,2025,Patients,P1,DESH among MRI-selected DCM surgery cohort,6,83,0.07228915662650602,0.927710843373494,High-risk imaging-screen yield,Context only,Four of six DESH cases lacked further neurologic evaluation or follow-up,Results / Limitations,https://doi.org/10.1007/s00586-025-08945-3,reported,YU2025||P1||DESH among MRI-selected DCM surgery cohort
YU2025,2025,Patients,E1,Probable iNPH among DESH cases,2,6,0.3333333333333333,0.6666666666666667,High-risk diagnostic confirmation,Context only,Both diagnoses followed positive tap tests; not all six were necessarily tested,Results,https://doi.org/10.1007/s00586-025-08945-3,reported,YU2025||E1||Probable iNPH among DESH cases
YU2025,2025,Patients,E3,Shunt receipt among probable iNPH,1,2,0.5,0.5,High-risk treatment uptake,Context only,The second probable case declined surgery,Results,https://doi.org/10.1007/s00586-025-08945-3,reported,YU2025||E3||Shunt receipt among probable iNPH
YU2025,2025,Patients,E6,Clinical response among shunted probable iNPH,1,1,1,0,Post-shunt response,Context only,Single case; classified as definite iNPH after improvement,Results,https://doi.org/10.1007/s00586-025-08945-3,reported,YU2025||E6||Clinical response among shunted probable iNPH
JARAJ2014,2014,Population participants,P0,CT participation among clinically examined participants,1238,2182,0.5673693858845096,0.4326306141154904,Research ascertainment/selection,Do not pool,"Only 38.1% of 3,246 invitees ultimately underwent CT",Methods,https://doi.org/10.1212/WNL.0000000000000342,reported,JARAJ2014||P0||CT participation among clinically examined participants
JARAJ2014,2014,Population participants,P1,Probable iNPH detected among CT participants age 70+,26,1238,0.0210016155088853,0.9789983844911146,Population screening yield,Separate population stratum,Age-standardization/stratification is important because older adults were oversampled,Results,https://doi.org/10.1212/WNL.0000000000000342,reported,JARAJ2014||P1||Probable iNPH detected among CT participants age 70+
JARAJ2014,2014,Screen-detected cases,P2,Previously shunted among screen-detected probable iNPH,2,26,0.07692307692307693,0.9230769230769231,Population prior-recognition proxy,Separate population stratum,"Cross-sectional prior treatment, not current surgical eligibility; original SG3 should not be pooled with treatment-cascade studies",Results,https://doi.org/10.1212/WNL.0000000000000342,reported,JARAJ2014||P2||Previously shunted among screen-detected probable iNPH
ACOSTA2021_PP,2021,Patients,E2,HVLP completion among suspected iNPH - pre-protocol,16,26,0.6153846153846154,0.3846153846153846,Implementation - diagnostic test completion,Paired arm only,Cisternography was used in some pre-protocol patients; this row is HVLP specifically,Table 2,https://doi.org/10.1212/CPJ.0000000000001018,reported,ACOSTA2021_PP||E2||HVLP completion among suspected iNPH - pre-protocol
ACOSTA2021_PROTOCOL,2021,Patients,E2,HVLP completion among suspected iNPH - protocol,39,40,0.975,0.025000000000000022,Implementation - diagnostic test completion,Paired arm only,Standardized protocol cohort,Table 2,https://doi.org/10.1212/CPJ.0000000000001018,reported,ACOSTA2021_PROTOCOL||E2||HVLP completion among suspected iNPH - protocol
ACOSTA2021_PP,2021,Patients,E2,Any formal cognitive testing - pre-protocol,10,26,0.38461538461538464,0.6153846153846154,Implementation - assessment completion,Paired arm only,38.5% reported,Table 4,https://doi.org/10.1212/CPJ.0000000000001018,reported,ACOSTA2021_PP||E2||Any formal cognitive testing - pre-protocol
ACOSTA2021_PROTOCOL,2021,Patients,E2,Any formal cognitive testing - protocol,38,40,0.95,0.050000000000000044,Implementation - assessment completion,Paired arm only,95% reported,Table 4,https://doi.org/10.1212/CPJ.0000000000001018,reported,ACOSTA2021_PROTOCOL||E2||Any formal cognitive testing - protocol
ACOSTA2021_PP,2021,Patients,E4,Shunt receipt among suspected iNPH - pre-protocol,22,26,0.8461538461538461,0.15384615384615385,Implementation - end-to-end treatment,Paired arm only,Higher surgery proportion does not necessarily mean better selection,Table 5,https://doi.org/10.1212/CPJ.0000000000001018,reported,ACOSTA2021_PP||E4||Shunt receipt among suspected iNPH - pre-protocol
ACOSTA2021_PROTOCOL,2021,Patients,E4,Shunt receipt among suspected iNPH - protocol,23,40,0.575,0.42500000000000004,Implementation - end-to-end treatment,Paired arm only,Protocol identified more nonresponders after HVLP and shunted fewer patients,Table 5,https://doi.org/10.1212/CPJ.0000000000001018,reported,ACOSTA2021_PROTOCOL||E4||Shunt receipt among suspected iNPH - protocol
ACOSTA2021_PP,2021,Patients,E6,Any reported improvement among shunted - pre-protocol,17,22,0.7727272727272727,0.2272727272727273,Post-shunt response - implementation,Paired arm only,Subjective clinician/patient/family assessment,Table 5,https://doi.org/10.1212/CPJ.0000000000001018,reported,ACOSTA2021_PP||E6||Any reported improvement among shunted - pre-protocol
ACOSTA2021_PROTOCOL,2021,Patients,E6,Any reported improvement among shunted - protocol,23,23,1,0,Post-shunt response - implementation,Paired arm only,Subjective clinician/patient/family assessment,Table 5,https://doi.org/10.1212/CPJ.0000000000001018,reported,ACOSTA2021_PROTOCOL||E6||Any reported improvement among shunted - protocol
OIKE2021,2021,Patients,P1,Possible iNPH among CT-screened elderly fall presenters,44,235,0.18723404255319148,0.8127659574468085,High-risk screening yield,Separate high-risk stratum,Possible iNPH required EI>0.3 plus complete clinical triad,Figure 1 / Results,https://doi.org/10.1016/j.clineuro.2021.106635,reported,OIKE2021||P1||Possible iNPH among CT-screened elderly fall presenters
OIKE2021,2021,Patients,E5,Tap-test positivity/probable iNPH among tested,29,34,0.8529411764705882,0.1470588235294118,Test positivity,Yes,"Study-defined improvement on TUG, MMSE or urinary iNPHGS",Figure 1 / Results,https://doi.org/10.1016/j.clineuro.2021.106635,reported,OIKE2021||E5||Tap-test positivity/probable iNPH among tested
OIKE2021,2021,Patients,E6,Study-defined clinical response among shunted,25,27,0.9259259259259259,0.07407407407407407,Post-shunt response at 1 month,Yes,Definite iNPH required improvement after shunt,Figure 1 / Results,https://doi.org/10.1016/j.clineuro.2021.106635,reported,OIKE2021||E6||Study-defined clinical response among shunted
OIKE2021,2021,Patients,E4,End-to-end responder yield among CT-screened fall presenters,25,235,0.10638297872340426,0.8936170212765957,High-risk screening - end-to-end,Separate high-risk stratum,"Combines screening yield, testing, treatment uptake and response",Derived from Figure 1,https://doi.org/10.1016/j.clineuro.2021.106635,reported,OIKE2021||E4||End-to-end responder yield among CT-screened fall presenters
NAKAJIMA2018,2018,Patient forms,E2,Tap test performed in nationwide survey categories,1256,1495,0.8401337792642141,0.15986622073578594,Survey patient sample - audit,Do not pool,"Derived denominator from 1,256 performed + 173 not performed + 66 unspecified; article simultaneously labels the analytic cohort as 1,423",Diagnostic Approach,https://doi.org/10.3389/fneur.2018.00421,reported,NAKAJIMA2018||E2||Tap test performed in nationwide survey categories
NAKAJIMA2018,2018,Patient forms,E5,Positive tap test among reported performed tests,1047,1256,0.8335987261146497,0.1664012738853503,Test positivity,Use overlap control,Secondary analysis of the same 2012 nationwide survey as Kuriyama 2017,Diagnostic Approach,https://doi.org/10.3389/fneur.2018.00421,reported,NAKAJIMA2018||E5||Positive tap test among reported performed tests
NAKAJIMA2018,2018,Patients,E6,mRS improved among shunted,582,974,0.5975359342915811,0.40246406570841886,Post-shunt response,Use overlap control,Improvement defined as at least one mRS grade within one year,Table 1,https://doi.org/10.3389/fneur.2018.00421,reported,NAKAJIMA2018||E6||mRS improved among shunted
JUNKKARI2019,2019,Patients,P0,Protocol-analyzable cohort among suspected referrals,253,341,0.7419354838709677,0.25806451612903225,Research ascertainment/selection,Do not pool,"88 excluded from research, mainly because gait assessment deviated from protocol",Figure 1,https://doi.org/10.1186/s12987-019-0142-9,reported,JUNKKARI2019||P0||Protocol-analyzable cohort among suspected referrals
JUNKKARI2019,2019,Patients,E5,Positive lumbar tap test among protocol cohort,103,253,0.40711462450592883,0.5928853754940712,Test positivity,Yes with overlap control,Positive defined as at least 20% improvement in average gait speed,Figure 1,https://doi.org/10.1186/s12987-019-0142-9,reported,JUNKKARI2019||E5||Positive lumbar tap test among protocol cohort
JUNKKARI2019,2019,Patients,E2,Infusion-test completion among tap-test-negative patients,75,150,0.5,0.5,Sequential diagnostic testing,Yes with overlap control,The other 75 tap-negative patients did not undergo infusion testing,Figure 1,https://doi.org/10.1186/s12987-019-0142-9,reported,JUNKKARI2019||E2||Infusion-test completion among tap-test-negative patients
JUNKKARI2019,2019,Patients,E5,Positive infusion test among tested tap-negative patients,37,75,0.49333333333333335,0.5066666666666666,Test positivity,Yes with overlap control,Outflow resistance threshold ≥12 mmHg/(mL/min),Figure 1,https://doi.org/10.1186/s12987-019-0142-9,reported,JUNKKARI2019||E5||Positive infusion test among tested tap-negative patients
WILLIAMS2019,2019,Registry patients,P1,Suspected-iNPH category among AHCRN registry enrollees,200,517,0.38684719535783363,0.6131528046421664,Referral phenotype/context,Context only,"Nonconsecutive registry; category required age 65+, ventriculomegaly and no previous treatment but not iNPH symptoms",Table 1,https://doi.org/10.3171/2019.2.JNS183538,reported,WILLIAMS2019||P1||Suspected-iNPH category among AHCRN registry enrollees
GHAFFARIRAFI2020_HI,2020,Records/patients,E1,Confirmed iNPH among ICD-coded candidate records,29,51,0.5686274509803921,0.43137254901960786,Diagnostic reclassification - specialty center,No,Ten secondary hydrocephalus and 12 records not meeting guideline criteria were excluded,Methods/Results,https://doi.org/10.1016/j.clineuro.2020.105836,reported,GHAFFARIRAFI2020_HI||E1||Confirmed iNPH among ICD-coded candidate records
ANILE2010,2010,Patients,E3,Shunt receipt among clinically/radiologically suspected patients,96,120,0.8,0.19999999999999996,Patient cascade - historical selection,Sensitivity,Twenty-four were not shunted after failing era-specific infusion criteria,Results,https://doi.org/10.3171/2010.1.JNS091296,reported,ANILE2010||E3||Shunt receipt among clinically/radiologically suspected patients
MAHR2016,2016,Patients,P0,Analyzed among consecutive enrolled patients,68,74,0.918918918918919,0.08108108108108103,Research attrition,No,Four complications and two noncompliant patients were excluded,Results,https://doi.org/10.3171/2015.8.JNS151112,reported,MAHR2016||P0||Analyzed among consecutive enrolled patients
MAHR2016,2016,Patients,E2,Lumbar infusion testing performed in analyzed cohort,60,68,0.8823529411764706,0.11764705882352944,Diagnostic testing - LIFT,Audit,Text reports 60 tests; subgroup table appears to imply 56,Results,https://doi.org/10.3171/2015.8.JNS151112,reported,MAHR2016||E2||Lumbar infusion testing performed in analyzed cohort
MAHR2016,2016,Patients,E5,Positive drainage-based evaluation among analyzed patients,33,68,0.4852941176470588,0.5147058823529411,Test positivity,Yes,Positive group subsequently received neurosurgical treatment,Results,https://doi.org/10.3171/2015.8.JNS151112,reported,MAHR2016||E5||Positive drainage-based evaluation among analyzed patients
MOREL2026,2026,Patients,E1,Further diagnostic investigation after first assessment,45,86,0.5232558139534884,0.4767441860465116,Implementation cascade,Yes,"Forty-one did not progress because iNPH was absent/unsupported, prior hydrocephalus treatment or severe comorbidity",Results/Fig. 1,https://doi.org/10.1159/000553392,reported,MOREL2026||E1||Further diagnostic investigation after first assessment
MOREL2026,2026,Patients,E3,Shunt recommended among multidisciplinary board evaluations,27,44,0.6136363636363636,0.38636363636363635,Treatment recommendation,Yes,Board denominator exceeds tap-test completers; stages are not strictly serial,Results/Fig. 1,https://doi.org/10.1159/000553392,reported,MOREL2026||E3||Shunt recommended among multidisciplinary board evaluations
MOREL2026,2026,Patients,E6,First postoperative assessment completed among operated patients,13,16,0.8125,0.1875,Postoperative follow-up,Yes,Publication-stage follow-up attrition,Results,https://doi.org/10.1159/000553392,reported,MOREL2026||E6||First postoperative assessment completed among operated patients
MOREL2026,2026,Patients,E6,Gait improvement at first assessment among followed patients,12,13,0.9230769230769231,0.07692307692307687,Post-shunt response,Yes,Objective gait-speed data were available for 12 patients,Results,https://doi.org/10.1159/000553392,reported,MOREL2026||E6||Gait improvement at first assessment among followed patients
BECHAZEDDINE2001,2001,Patients,P1,Suspected iNPH among all memory-clinic patients,71,400,0.1775,0.8225,Memory-clinic screening yield,No,Clinical suspicion generated at multidisciplinary memory clinic,Results,https://doi.org/10.1046/j.1468-1331.2001.00291.x,reported,BECHAZEDDINE2001||P1||Suspected iNPH among all memory-clinic patients
BECHAZEDDINE2001,2001,Patients,E2,Admitted for CSF-dynamics assessment among suspected referrals,35,71,0.49295774647887325,0.5070422535211268,Diagnostic work-up completion,Yes,Suspicion was sustained after outpatient assessment,Results,https://doi.org/10.1046/j.1468-1331.2001.00291.x,reported,BECHAZEDDINE2001||E2||Admitted for CSF-dynamics assessment among suspected referrals
BECHAZEDDINE2001,2001,Patients,E1,iNPH diagnosis among patients undergoing CSF dynamics,14,35,0.4,0.6,Diagnostic confirmation,Yes,Four additional patients had structural shunt-responsive disorders,Results,https://doi.org/10.1046/j.1468-1331.2001.00291.x,reported,BECHAZEDDINE2001||E1||iNPH diagnosis among patients undergoing CSF dynamics
BECHAZEDDINE2001,2001,Patients,E6,Postoperative follow-up among shunted iNPH,11,13,0.8461538461538461,0.15384615384615385,Postoperative follow-up,Yes,Two patients were lost to follow-up,Results,https://doi.org/10.1046/j.1468-1331.2001.00291.x,reported,BECHAZEDDINE2001||E6||Postoperative follow-up among shunted iNPH
BELZILE2026,2026,Patients,E3,Referral for shunt among probable iNPH after tap test,119,175,0.68,0.31999999999999995,Treatment referral decision,Yes,Fifty-six were not referred because clinical improvement after CSF tap test was insufficient,Results,https://doi.org/10.1017/cjn.2026.10544,reported,BELZILE2026||E3||Referral for shunt among probable iNPH after tap test
BELZILE2026,2026,Patients,E6,Postoperative follow-up among shunted patients,94,114,0.8245614035087719,0.17543859649122806,Postoperative follow-up,Yes,Outcome ascertainment was incomplete,Results,https://doi.org/10.1017/cjn.2026.10544,reported,BELZILE2026||E6||Postoperative follow-up among shunted patients
ANDREN2014,2014,Patients,D1,Clinically meaningful deterioration during delayed waiting period,18,33,0.5454545454545454,0.4545454545454546,Waiting-list natural history,No,Count derived from reported 55%; median scale deterioration was 8 points (23%),Results,https://doi.org/10.1136/jnnp-2013-306117,reported,ANDREN2014||D1||Clinically meaningful deterioration during delayed waiting period
ANDREN2014,2014,Patients,E6,"Improved after surgery in early-treatment group, intention-to-treat",54,69,0.782608695652174,0.21739130434782605,Post-shunt response - early group,No,Median wait 0.2 months,Results,https://doi.org/10.1136/jnnp-2013-306117,reported,"ANDREN2014||E6||Improved after surgery in early-treatment group, intention-to-treat"
ANDREN2014,2014,Patients,E6,"Improved after surgery in delayed group, intention-to-treat",16,33,0.48484848484848486,0.5151515151515151,Post-shunt response - delayed group,No,Median wait 13.2 months; one died before surgery,Results,https://doi.org/10.1136/jnnp-2013-306117,reported,"ANDREN2014||E6||Improved after surgery in delayed group, intention-to-treat"
MARMAROU2005,2005,Patients,E5,Positive ELD among evaluated patients,100,151,0.6622516556291391,0.3377483443708609,Test positivity,Yes,Fixed external lumbar drainage protocol,Results,https://doi.org/10.3171/jns.2005.102.6.0987,reported,MARMAROU2005||E5||Positive ELD among evaluated patients
MARMAROU2005,2005,Patients,E3,Shunt receipt among ELD-negative patients,18,51,0.35294117647058826,0.6470588235294117,Treatment after negative test,No,Strongly selected by additional clinical judgment/patient preference,Results,https://doi.org/10.3171/jns.2005.102.6.0987,reported,MARMAROU2005||E3||Shunt receipt among ELD-negative patients
POUDEL2026,2026,Patients,E6,Follow-up among non-operated patients,14,16,0.875,0.125,Non-operated comparator follow-up,No,One patient had died and one was lost or unavailable,Results,https://doi.org/10.1016/j.prdoa.2026.100425,reported,POUDEL2026||E6||Follow-up among non-operated patients
MACKI2020,2020,Patients,E1,Idiopathic-suspect cohort after initial exclusions,316,330,0.9575757575757575,0.042424242424242475,Diagnostic reclassification,Yes,Two lacked required ventricular/gait findings and 12 had secondary NPH,Results,https://doi.org/10.1093/neuros/nyaa199,reported,MACKI2020||E1||Idiopathic-suspect cohort after initial exclusions
MACKI2020,2020,Patients,E1,Alternative diagnosis among idiopathic-suspect cohort,149,316,0.47151898734177217,0.5284810126582278,Diagnostic reclassification,Yes,Eighty-seven treatable and 62 non-treatable alternative diagnoses,Results,https://doi.org/10.1093/neuros/nyaa199,reported,MACKI2020||E1||Alternative diagnosis among idiopathic-suspect cohort
MACKI2020,2020,Patients,E2,Referred for CSF-removal testing after multidisciplinary review,167,316,0.5284810126582279,0.4715189873417721,Diagnostic work-up decision,Yes,Remaining cohort after alternative diagnoses,Results,https://doi.org/10.1093/neuros/nyaa199,reported,MACKI2020||E2||Referred for CSF-removal testing after multidisciplinary review
MACKI2020,2020,Patients,E5,Positive tap test/referred for surgery among tap-tested,102,142,0.7183098591549296,0.2816901408450704,Test positivity/referral,Yes,Positive-test referral stage,Results,https://doi.org/10.1093/neuros/nyaa199,reported,MACKI2020||E5||Positive tap test/referred for surgery among tap-tested
MACKI2020,2020,Patients,E6,Improvement after treatment of an alternative diagnosis among followed,36,70,0.5142857142857142,0.48571428571428577,Alternative-diagnosis treatment outcome,No,Seventy of 87 treatable alternative diagnoses had follow-up,Results,https://doi.org/10.1093/neuros/nyaa199,reported,MACKI2020||E6||Improvement after treatment of an alternative diagnosis among followed
MARMAROU2007,2007,Residents,P0,Age-eligible charts after excluding residents age 85+,147,254,0.5787401574803149,0.42125984251968507,Research selection - care facilities,No,"Age exclusion is design-based, not a clinical-care gap",Methods,https://doi.org/10.3171/foc.2007.22.4.2,reported,MARMAROU2007||P0||Age-eligible charts after excluding residents age 85+
MARMAROU2007,2007,Residents,P1,Residents with clinical symptom triad,11,147,0.07482993197278912,0.9251700680272109,High-risk screening yield,No,Study estimated suspected iNPH prevalence as 9-14%,Results,https://doi.org/10.3171/foc.2007.22.4.2,reported,MARMAROU2007||P1||Residents with clinical symptom triad
MARMAROU2007,2007,Patients,E2,Infusion testing in prospectively evaluated suspected patients,12,17,0.7058823529411765,0.2941176470588235,Diagnostic testing - infusion,No,Small prospective subset,Results,https://doi.org/10.3171/foc.2007.22.4.2,reported,MARMAROU2007||E2||Infusion testing in prospectively evaluated suspected patients
MARMAROU2007,2007,Patients,E2,ELD performed in prospectively evaluated suspected patients,12,17,0.7058823529411765,0.2941176470588235,Diagnostic testing - ELD,No,Small prospective subset,Results,https://doi.org/10.3171/foc.2007.22.4.2,reported,MARMAROU2007||E2||ELD performed in prospectively evaluated suspected patients
MARMAROU2007,2007,Patients,E5,ELD improvement among completed ELD tests,3,12,0.25,0.75,Test positivity,No,Small high-risk care-facility subset,Results,https://doi.org/10.3171/foc.2007.22.4.2,reported,MARMAROU2007||E5||ELD improvement among completed ELD tests
MARMAROU2007,2007,Patients,E3,Shunt receipt among prospectively evaluated suspected patients,11,17,0.6470588235294118,0.3529411764705882,Treatment receipt - care-facility subset,No,Six did not receive surgery,Results,https://doi.org/10.3171/foc.2007.22.4.2,reported,MARMAROU2007||E3||Shunt receipt among prospectively evaluated suspected patients
MARMAROU2007,2007,Patients,E6,Any gait improvement among shunted patients,7,11,0.6363636363636364,0.36363636363636365,Post-shunt response,No,Four improvements were transient and three sustained at one year,Results,https://doi.org/10.3171/foc.2007.22.4.2,reported,MARMAROU2007||E6||Any gait improvement among shunted patients
ISEKI2022,2022,Participants,P0,Recruited into age-70 population cohort,271,350,0.7742857142857142,0.22571428571428576,Population ascertainment,No,Participation was 77.4%,Methods,https://doi.org/10.1111/ane.13710,reported,ISEKI2022||P0||Recruited into age-70 population cohort
ISEKI2022,2022,Participants,P1,Developed iNPH over 16 years,11,271,0.04059040590405904,0.959409594095941,Population natural history,No,"Includes definite, probable, possible and deceased cases identified longitudinally",Results,https://doi.org/10.1111/ane.13710,reported,ISEKI2022||P1||Developed iNPH over 16 years
ISEKI2022,2022,Participants,P2,Sought hospital consultation among detected iNPH,1,11,0.09090909090909091,0.9090909090909091,Prior recognition/consultation,No,Symptoms were commonly regarded as aging,Results,https://doi.org/10.1111/ane.13710,reported,ISEKI2022||P2||Sought hospital consultation among detected iNPH
ISEKI2022,2022,Participants,P2,Shunted among detected iNPH,1,11,0.09090909090909091,0.9090909090909091,Prior treatment recognition,No,One definite case responded to shunting,Results,https://doi.org/10.1111/ane.13710,reported,ISEKI2022||P2||Shunted among detected iNPH
BREAN2008,2008,Patients,P0,Enrolled among referrals,81,86,0.9418604651162791,0.05813953488372092,Population-referral ascertainment,No,One wrong admission and four declined participation,Methods/Results,https://doi.org/10.1111/j.1600-0404.2007.00982.x,reported,BREAN2008||P0||Enrolled among referrals
BREAN2008,2008,Patients,E1,Met clinical inclusion criteria among enrolled referrals,64,81,0.7901234567901234,0.2098765432098766,Diagnostic evaluation,Yes,Nine lacked urinary/cognitive symptoms and eight had explanatory competing conditions,Results,https://doi.org/10.1111/j.1600-0404.2007.00982.x,reported,BREAN2008||E1||Met clinical inclusion criteria among enrolled referrals
BREAN2008,2008,Patients,E1,Probable iNPH among clinically included referrals,48,64,0.75,0.25,Diagnostic confirmation,Yes,No shunt outcome was reported,Results,https://doi.org/10.1111/j.1600-0404.2007.00982.x,reported,BREAN2008||E1||Probable iNPH among clinically included referrals
PETRELLA2023,2023,CT examinations,P1,Radiologic/clinical screening positives among emergency CT scans,192,1232,0.15584415584415584,0.8441558441558441,Emergency imaging screening yield,No,No confirmatory diagnostic work-up; projected annual counts are not observed data,Results,https://doi.org/10.3390/tomography9060157,reported,PETRELLA2023||P1||Radiologic/clinical screening positives among emergency CT scans
