analysis_id,analysis_label,set_id,entry_setting,test_type,timepoint_months,overlap_cluster,include_pool,decision_note,effect_key,study_id,year,data_level,stage,estimand,numerator,denominator,proportion,complement,pooling_stratum,pool,notes,source_location,url,source_type,study_year,country,design,base_population,synthesis_status,main_bias_limitation,study_label
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,broad_selected,ELD-selected cohort,ELD,NA,NA,TRUE,Not an initial unselected referral cohort,GALLINA2018||E4||End-to-end shunt receipt among ELD attempts,GALLINA2018,2018,Patients,E4,End-to-end shunt receipt among ELD attempts,68,93,0.7311827956989247,0.26881720430107525,Diagnostic testing - end-to-end,Yes,Includes six ELD-negative patients who requested surgery,Results,https://doi.org/10.3171/2018.6.JNS18400,reported,2018,Italy,Retrospective consecutive cohort,Selected suspected iNPH undergoing 1-day ELD,Include,Only 6/24 test-negative patients were shunted; outcome verification is selected,GALLINA2018 (2018)
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,broad_selected,Probable iNPH after tap test,Tap test,NA,NA,TRUE,Diagnostic/test-selected denominator,BELZILE2026||E4||End-to-end shunt receipt among probable iNPH,BELZILE2026,2026,Patients,E4,End-to-end shunt receipt among probable iNPH,114,175,0.6514285714285715,0.34857142857142853,Patient cascade - end-to-end,Yes,Combines referral decision and refusal,Derived from Results,https://doi.org/10.1017/cjn.2026.10544,reported,2026,Canada,Retrospective clinical cohort,Probable iNPH after standardized tap test,Include,Referral decision based partly on post-test clinical judgment; postoperative attrition,BELZILE2026 (2026)
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,primary,Specialist referral clinic,NA,NA,Bologna,TRUE,Derived treatment receipt among diagnosed iNPH,GIANNINI2019||E3||Shunt receipt among diagnosed iNPH (derived),GIANNINI2019,2019,Patients,E3,Shunt receipt among diagnosed iNPH (derived),43,76,0.5657894736842105,0.4342105263157895,Treatment after diagnosis,Yes,Derived from 43 shunts among 76 diagnosed iNPH.,Derived from reported Results flow,https://doi.org/10.1016/j.parkreldis.2019.07.021,derived,2019,Italy,Prospective observational,Suspected iNPH referrals,Include,Single-center structured protocol; some patients still ongoing,GIANNINI2019 (2019)
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,primary,Defined-catchment referral,NA,NA,NA,TRUE,Diagnosed iNPH denominator,MARTINLAEZ2016||E3||Shunt receipt among diagnosed iNPH,MARTINLAEZ2016,2016,Patients,E3,Shunt receipt among diagnosed iNPH,152,187,0.8128342245989305,0.1871657754010695,Patient cascade - conditional,Yes,Defined catchment population,Figure 2 / Results,https://doi.org/10.1016/j.wneu.2015.10.069,reported,2016,Spain,Prospective population referral cohort,Suspected NPH referrals in defined catchment,Include,Active referral reminders may increase ascertainment,MARTINLAEZ2016 (2016)
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,primary,Defined-population referral registry,NA,NA,Kuopio,TRUE,Primary Kuopio report for this estimand,PYYKKO2018||E3||Shunt receipt among diagnosed iNPH,PYYKKO2018,2018,Patients,E3,Shunt receipt among diagnosed iNPH,269,283,0.950530035335689,0.04946996466431097,Patient cascade - conditional,Yes with overlap control,High treatment proportion in protocol-selected registry,Results,https://doi.org/10.1016/j.wneu.2018.01.107,reported,2018,Finland,Defined-population registry cohort,Possible iNPH referred to Kuopio,Include with overlap control,Potential overlap with other Kuopio registry publications,PYYKKO2018 (2018)
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,primary,Memory clinic,NA,NA,NA,TRUE,Diagnosed iNPH denominator,RAZAY2019||E3||Shunt receipt among diagnosed iNPH,RAZAY2019,2019,Patients,E3,Shunt receipt among diagnosed iNPH,29,62,0.46774193548387094,0.532258064516129,Patient cascade - conditional,Yes,33 non-shunted with explicit reasons,Results / Table 4,https://doi.org/10.1136/bmjopen-2018-028103,reported,2019,Australia,Prospective memory-clinic cohort,Consecutive memory-clinic patients,Include,Only 25/29 shunted had analyzable follow-up outcome,RAZAY2019 (2019)
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,primary,Memory clinic,NA,NA,NA,TRUE,Diagnosed iNPH denominator,BECHAZEDDINE2001||E3||Shunt receipt among diagnosed iNPH,BECHAZEDDINE2001,2001,Patients,E3,Shunt receipt among diagnosed iNPH,13,14,0.9285714285714286,0.0714285714285714,Treatment after diagnosis,Yes,One diagnosed patient was not shunted,Results,https://doi.org/10.1046/j.1468-1331.2001.00291.x,reported,2001,Denmark,Multidisciplinary memory-clinic cohort,Consecutive memory-clinic patients,Include,Selected referral and historical diagnostic protocol; small diagnosed sample,BECHAZEDDINE2001 (2001)
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,primary,Probable iNPH after tap test,Tap test,NA,NA,TRUE,Probable iNPH denominator despite source stage E4,BELZILE2026||E4||End-to-end shunt receipt among probable iNPH,BELZILE2026,2026,Patients,E4,End-to-end shunt receipt among probable iNPH,114,175,0.6514285714285715,0.34857142857142853,Patient cascade - end-to-end,Yes,Combines referral decision and refusal,Derived from Results,https://doi.org/10.1017/cjn.2026.10544,reported,2026,Canada,Retrospective clinical cohort,Probable iNPH after standardized tap test,Include,Referral decision based partly on post-test clinical judgment; postoperative attrition,BELZILE2026 (2026)
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,primary,Probable iNPH cohort,Tap test,NA,NA,TRUE,Probable iNPH denominator,POUDEL2026||E3||Shunt receipt among probable iNPH,POUDEL2026,2026,Patients,E3,Shunt receipt among probable iNPH,24,40,0.6,0.4,Treatment after diagnosis,Yes,Sixteen remained non-operated at report,Results,https://doi.org/10.1016/j.prdoa.2026.100425,reported,2026,India,Prospective clinical cohort,Possible iNPH screened for probable iNPH,Include,Small single-center cohort and short follow-up; outcome-count inconsistency,POUDEL2026 (2026)
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,broad_selected,Multidisciplinary referral clinic,NA,NA,NA,TRUE,Candidate denominator includes three secondary NPH cases,ALHUSAINI2024||E3||Shunt receipt among surgical candidates,ALHUSAINI2024,2024,Patients,E3,Shunt receipt among surgical candidates,41,55,0.7454545454545455,0.2545454545454545,Patient cascade - conditional,Yes,Candidate group includes 52 probable iNPH plus 3 secondary NPH,Results,https://doi.org/10.3390/jcm13206135,reported,2024,USA,Prospective implementation cohort,New suspected NPH referrals,Include,No pre-protocol comparator; candidates include 3 secondary NPH,ALHUSAINI2024 (2024)
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,broad_survey,Nationwide hospital survey sample,NA,NA,JapanSurvey2012,TRUE,Survey forms rather than an inception cohort,KURIYAMA2017||E3||Shunt receipt in second-stage patient sample,KURIYAMA2017,2017,Patient forms,E3,Shunt receipt in second-stage patient sample,1004,1524,0.6587926509186351,0.34120734908136485,Survey patient sample,Conditional,Not a consecutive inception cohort,Table/Results,https://doi.org/10.1002/brb3.635,reported,2017,Japan,Two-stage nationwide hospital survey,Hospital-reported iNPH and second-stage patient sample,Include separate strata,First-stage response 42.7%; estimates and raw patient forms must not be mixed,KURIYAMA2017 (2017)
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,overlap_alternative,Nationwide hospital survey sample,NA,NA,JapanSurvey2012,TRUE,Alternative report from the same survey cluster,NAKAJIMA2018||E3||Shunt receipt among analytic possible-iNPH cohort,NAKAJIMA2018,2018,Patient forms,E3,Shunt receipt among analytic possible-iNPH cohort,974,1423,0.6844694307800422,0.3155305692199578,Survey patient sample,Use overlap control,Do not combine with Kuriyama's shunt effect from the same survey,Figure 1 / Results,https://doi.org/10.3389/fneur.2018.00421,reported,2018,Japan,Nationwide survey secondary analysis,Possible iNPH patients age 60+ with complete sex and mRS data,Include with overlap control,Same 2012 nationwide survey as Kuriyama; tap-test counts/percentages imply a different denominator,NAKAJIMA2018 (2018)
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,broad_selected,Clinical iNPH protocol cohort,ELD,NA,VCU,TRUE,Clinical iNPH entry definition broader than guideline-confirmed probable iNPH,MARMAROU2005||E4||Shunt receipt among all evaluated patients,MARMAROU2005,2005,Patients,E4,Shunt receipt among all evaluated patients,102,151,0.6754966887417219,0.32450331125827814,Patient cascade - end-to-end,Yes,Includes both positive and selected negative-test patients,Derived from Results,https://doi.org/10.3171/jns.2005.102.6.0987,reported,2005,USA,Prospective protocol cohort,Clinical iNPH undergoing ELD-based evaluation,Include,Test-negative verification was selected; preferences influenced surgery,MARMAROU2005 (2005)
S1_REFERRAL_TO_DIAGNOSIS,Initial suspicion/referral to iNPH diagnosis,primary,Specialist referral clinic,NA,NA,Bologna,TRUE,Derived diagnostic yield from initial referrals,GIANNINI2019||E1||iNPH diagnosis among initial referrals (derived),GIANNINI2019,2019,Patients,E1,iNPH diagnosis among initial referrals (derived),76,154,0.4935064935064935,0.5064935064935066,Patient cascade - diagnostic end-to-end,Yes,Derived from 76 diagnoses among 154 initial referrals; the published flow separately reports 89 completed inpatient evaluations.,Derived from reported Results flow,https://doi.org/10.1016/j.parkreldis.2019.07.021,derived,2019,Italy,Prospective observational,Suspected iNPH referrals,Include,Single-center structured protocol; some patients still ongoing,GIANNINI2019 (2019)
S1_REFERRAL_TO_DIAGNOSIS,Initial suspicion/referral to iNPH diagnosis,primary,Multidisciplinary referral clinic,NA,NA,NA,TRUE,Probable iNPH among referrals,ALHUSAINI2024||E1||Probable iNPH among referrals,ALHUSAINI2024,2024,Patients,E1,Probable iNPH among referrals,52,111,0.46846846846846846,0.5315315315315315,Patient cascade - diagnostic,Yes,Broader NPH classification included possible and secondary categories,Results,https://doi.org/10.3390/jcm13206135,reported,2024,USA,Prospective implementation cohort,New suspected NPH referrals,Include,No pre-protocol comparator; candidates include 3 secondary NPH,ALHUSAINI2024 (2024)
S1_REFERRAL_TO_DIAGNOSIS,Initial suspicion/referral to iNPH diagnosis,primary,Defined-catchment referral,NA,NA,NA,TRUE,Diagnosed iNPH among suspected referrals,MARTINLAEZ2016||E1||iNPH diagnosis among suspected referrals,MARTINLAEZ2016,2016,Patients,E1,iNPH diagnosis among suspected referrals,187,293,0.6382252559726962,0.3617747440273038,Patient cascade - diagnostic,Yes,89 probable and 98 possible iNPH,Figure 2 / Results,https://doi.org/10.1016/j.wneu.2015.10.069,reported,2016,Spain,Prospective population referral cohort,Suspected NPH referrals in defined catchment,Include,Active referral reminders may increase ascertainment,MARTINLAEZ2016 (2016)
S1_REFERRAL_TO_DIAGNOSIS,Initial suspicion/referral to iNPH diagnosis,primary,Defined-population referral registry,NA,NA,Kuopio,TRUE,Primary Kuopio diagnostic-yield report,PYYKKO2018||E1||Clinical iNPH diagnosis among possible iNPH,PYYKKO2018,2018,Patients,E1,Clinical iNPH diagnosis among possible iNPH,283,536,0.5279850746268657,0.4720149253731343,Patient cascade - diagnostic,Yes with overlap control,Kuopio registry,Results,https://doi.org/10.1016/j.wneu.2018.01.107,reported,2018,Finland,Defined-population registry cohort,Possible iNPH referred to Kuopio,Include with overlap control,Potential overlap with other Kuopio registry publications,PYYKKO2018 (2018)
S1_REFERRAL_TO_DIAGNOSIS,Initial suspicion/referral to iNPH diagnosis,primary,Memory-clinic suspected referrals,NA,NA,NA,TRUE,Derived diagnostic yield from suspected referrals,BECHAZEDDINE2001||E1||iNPH diagnosis among suspected memory-clinic referrals (derived),BECHAZEDDINE2001,2001,Patients,E1,iNPH diagnosis among suspected memory-clinic referrals (derived),14,71,0.19718309859154928,0.8028169014084507,Patient cascade - diagnostic end-to-end,Yes,Derived from 14 iNPH diagnoses among 71 patients initially suspected at the memory clinic.,Derived from reported Results flow,https://doi.org/10.1046/j.1468-1331.2001.00291.x,derived,2001,Denmark,Multidisciplinary memory-clinic cohort,Consecutive memory-clinic patients,Include,Selected referral and historical diagnostic protocol; small diagnosed sample,BECHAZEDDINE2001 (2001)
S1_REFERRAL_TO_DIAGNOSIS,Initial suspicion/referral to iNPH diagnosis,primary,Active population-referral ascertainment,NA,NA,Vestfold,TRUE,Active ascertainment may elevate referral yield,BREAN2008||E1||Probable iNPH among initial referrals (derived),BREAN2008,2008,Patients,E1,Probable iNPH among initial referrals (derived),48,86,0.5581395348837209,0.4418604651162791,Patient cascade - diagnostic end-to-end,Yes,Derived from 48 probable iNPH diagnoses among 86 referrals generated through active ascertainment.,Derived from reported Results flow,https://doi.org/10.1111/j.1600-0404.2007.00982.x,derived,2008,Norway,Population-referral diagnostic cohort,Older adults referred after active ascertainment,Include separate stratum,Referral/media campaign may inflate ascertainment; no treatment outcome,BREAN2008 (2008)
S1_REFERRAL_TO_DIAGNOSIS,Initial suspicion/referral to iNPH diagnosis,broad_setting,All-comer memory clinic,NA,NA,NA,TRUE,Denominator is all memory-clinic patients,RAZAY2019||E1||iNPH diagnosis among memory-clinic patients,RAZAY2019,2019,Patients,E1,iNPH diagnosis among memory-clinic patients,62,408,0.15196078431372548,0.8480392156862745,Patient cascade - diagnostic,Yes,Consecutive memory-clinic patients with cognitive impairment,Table 1 / Results,https://doi.org/10.1136/bmjopen-2018-028103,reported,2019,Australia,Prospective memory-clinic cohort,Consecutive memory-clinic patients,Include,Only 25/29 shunted had analyzable follow-up outcome,RAZAY2019 (2019)
S1_REFERRAL_TO_DIAGNOSIS,Initial suspicion/referral to iNPH diagnosis,broad_selected,Possible iNPH screened in a specialist cohort,Tap test,NA,NA,TRUE,Small selected cohort,POUDEL2026||E1||Probable iNPH after screening,POUDEL2026,2026,Patients,E1,Probable iNPH after screening,40,48,0.8333333333333334,0.16666666666666663,Diagnostic confirmation,Yes,Eight alternative/secondary diagnoses were excluded,Results,https://doi.org/10.1016/j.prdoa.2026.100425,reported,2026,India,Prospective clinical cohort,Possible iNPH screened for probable iNPH,Include,Small single-center cohort and short follow-up; outcome-count inconsistency,POUDEL2026 (2026)
S2_TEST_COMPLETION,Completion of study-defined planned specialized/invasive work-up,primary,ELD-selected cohort,ELD,NA,NA,TRUE,Attempted-to-completed procedure,GALLINA2018||E2||Completed 1-day ELD among attempted procedures,GALLINA2018,2018,Patients,E2,Completed 1-day ELD among attempted procedures,90,93,0.967741935483871,0.032258064516129004,Diagnostic testing,Yes,Two placement failures and one early stop,Results,https://doi.org/10.3171/2018.6.JNS18400,reported,2018,Italy,Retrospective consecutive cohort,Selected suspected iNPH undergoing 1-day ELD,Include,Only 6/24 test-negative patients were shunted; outcome verification is selected,GALLINA2018 (2018)
S2_TEST_COMPLETION,Completion of study-defined planned specialized/invasive work-up,primary,Invasively evaluated suspected cohort,HVLP,NA,NA,TRUE,Planned diagnostic procedure completion,KLASSEN2011||E2||High-volume lumbar puncture completed among invasively evaluated suspected NPH,KLASSEN2011,2011,Patients,E2,High-volume lumbar puncture completed among invasively evaluated suspected NPH,38,41,0.926829268292683,0.07317073170731703,Diagnostic testing,Yes,Two patients followed other invasive pathways rather than CSF-removal trial; one additional case is not fully described,Results,NA,reported,2011,USA,Population-linked retrospective cohort,Olmsted County residents with clinical suspicion sufficient for an invasive procedure,Include,Operational suspicion required invasive evaluation; only 12 local shunt outcomes available,KLASSEN2011 (2011)
S2_TEST_COMPLETION,Completion of study-defined planned specialized/invasive work-up,primary,High-risk fall screening cohort,Tap test,NA,NA,TRUE,Possible iNPH selected for tap testing,OIKE2021||E2||Tap-test completion among possible iNPH,OIKE2021,2021,Patients,E2,Tap-test completion among possible iNPH,34,44,0.7727272727272727,0.2272727272727273,High-risk diagnostic testing,Yes,Ten did not undergo tap testing for explicit clinical/patient reasons,Figure 1 / Results,https://doi.org/10.1016/j.clineuro.2021.106635,reported,2021,Japan,Retrospective high-risk screening cohort,Fall presenters age 60-89 who underwent head CT,Include separate stratum,51.7% of all fall presenters did not undergo CT; not representative of all elderly fallers,OIKE2021 (2021)
S2_TEST_COMPLETION,Completion of study-defined planned specialized/invasive work-up,primary,Consecutive suspected cohort,ELD,NA,NA,TRUE,Three patients received high-volume tap instead,MAHR2016||E2||External lumbar drainage completed/used in analyzed cohort,MAHR2016,2016,Patients,E2,External lumbar drainage completed/used in analyzed cohort,65,68,0.9558823529411765,0.044117647058823484,Diagnostic testing - ELD,Yes,Three patients had high-volume tap instead,Methods/Results,https://doi.org/10.3171/2015.8.JNS151112,reported,2016,Germany,Consecutive observational cohort,Clinically suspected iNPH,Include,Six exclusions after enrollment; internal count/timepoint inconsistencies,MAHR2016 (2016)
S2_TEST_COMPLETION,Completion of study-defined planned specialized/invasive work-up,primary,Multidisciplinary implementation cohort,Tap test,NA,NA,TRUE,Selected-for-investigation denominator,MOREL2026||E2||Tap test completed among patients selected for further investigation,MOREL2026,2026,Patients,E2,Tap test completed among patients selected for further investigation,42,45,0.9333333333333333,0.06666666666666665,Diagnostic testing - tap test,Yes,Three procedures were impossible or inadequate,Results/Fig. 1,https://doi.org/10.1159/000553392,reported,2026,Switzerland,Consecutive implementation cohort,First multidisciplinary assessments,Include,Board and tap-test stages are not strictly serial; publication-stage waiting remains,MOREL2026 (2026)
S2_TEST_COMPLETION,Completion of study-defined planned specialized/invasive work-up,primary,Multidisciplinary NPH conference,Tap test,NA,HenryFord,TRUE,Some patients may enter overlapping ELD pathways,MACKI2020||E2||Tap test completed among CSF-removal referrals,MACKI2020,2020,Patients,E2,Tap test completed among CSF-removal referrals,142,167,0.8502994011976048,0.14970059880239517,Diagnostic testing - tap test,Yes,ELD pathways overlapped and are not represented as a simple serial stage,Results,https://doi.org/10.1093/neuros/nyaa199,reported,2020,USA,Retrospective multidisciplinary cohort,NPH-conference presentations,Include,Some tap and ELD pathways overlap; source denominator reported as 328 and 330,MACKI2020 (2020)
S2_TEST_COMPLETION,Completion of study-defined planned specialized/invasive work-up,primary,Active population-referral ascertainment,Lumbar puncture,NA,Vestfold,TRUE,One technically impossible procedure,BREAN2008||E2||Completed full assessment among clinically included,BREAN2008,2008,Patients,E2,Completed full assessment among clinically included,63,64,0.984375,0.015625,Diagnostic work-up completion,Yes,Lumbar puncture was technically impossible in one patient,Results,https://doi.org/10.1111/j.1600-0404.2007.00982.x,reported,2008,Norway,Population-referral diagnostic cohort,Older adults referred after active ascertainment,Include separate stratum,Referral/media campaign may inflate ascertainment; no treatment outcome,BREAN2008 (2008)
S3_TEST_POSITIVE_TO_SHUNT,Positive prognostic test to shunt,primary,ELD-selected cohort,ELD,NA,NA,TRUE,Positive ELD denominator,GALLINA2018||E3||Shunt receipt among ELD-positive patients,GALLINA2018,2018,Patients,E3,Shunt receipt among ELD-positive patients,62,66,0.9393939393939394,0.06060606060606055,Treatment after positive test,Yes,Four positive patients refused surgery,Results,https://doi.org/10.3171/2018.6.JNS18400,reported,2018,Italy,Retrospective consecutive cohort,Selected suspected iNPH undergoing 1-day ELD,Include,Only 6/24 test-negative patients were shunted; outcome verification is selected,GALLINA2018 (2018)
S3_TEST_POSITIVE_TO_SHUNT,Positive prognostic test to shunt,primary,Invasively evaluated suspected cohort,HVLP,NA,NA,TRUE,Positive HVLP denominator,KLASSEN2011||E3||Shunt receipt among HVLP-positive patients,KLASSEN2011,2011,Patients,E3,Shunt receipt among HVLP-positive patients,11,14,0.7857142857142857,0.2142857142857143,Treatment after positive test,Yes,"Three positive patients not shunted: competing diagnosis, missed neurosurgical visit, and refusal",Results,NA,reported,2011,USA,Population-linked retrospective cohort,Olmsted County residents with clinical suspicion sufficient for an invasive procedure,Include,Operational suspicion required invasive evaluation; only 12 local shunt outcomes available,KLASSEN2011 (2011)
S3_TEST_POSITIVE_TO_SHUNT,Positive prognostic test to shunt,primary,High-risk fall screening cohort,Tap test,NA,NA,TRUE,Probable iNPH after positive tap test,OIKE2021||E3||Shunt receipt among probable iNPH,OIKE2021,2021,Patients,E3,Shunt receipt among probable iNPH,27,29,0.9310344827586207,0.06896551724137934,Treatment after positive test,Yes,Two patients did not consent to surgery,Figure 1 / Results,https://doi.org/10.1016/j.clineuro.2021.106635,reported,2021,Japan,Retrospective high-risk screening cohort,Fall presenters age 60-89 who underwent head CT,Include separate stratum,51.7% of all fall presenters did not undergo CT; not representative of all elderly fallers,OIKE2021 (2021)
S3_TEST_POSITIVE_TO_SHUNT,Positive prognostic test to shunt,primary,Protocol referral registry,Tap test,NA,Kuopio,TRUE,Tap-positive group chosen as the one Kuopio effect,JUNKKARI2019||E3||Shunt receipt among tap-test-positive,JUNKKARI2019,2019,Patients,E3,Shunt receipt among tap-test-positive,98,103,0.9514563106796117,0.04854368932038833,Treatment after positive test,Yes with overlap control,Five positive patients were not shunted,Figure 1,https://doi.org/10.1186/s12987-019-0142-9,reported,2019,Finland,Retrospective registry protocol cohort,Suspected iNPH referrals following Kuopio protocol,Include with overlap control,"Kuopio registry overlap; 88/341 excluded from research, mostly nonstandard gait assessment",JUNKKARI2019 (2019)
