study_id,level,stage,barrier_reason,count,denominator,denominator_definition,interpretation_note,source_location,url,proportion,barrier_category,ci_low,ci_high
MACKI2020,Patients,Diagnostic reclassification,Non-treatable alternative diagnosis,62,316,Idiopathic-suspect cohort,Competing diagnosis rather than loss to care,Results,https://doi.org/10.1093/neuros/nyaa199,0.1962025316455696,Diagnostic reclassification / alternative diagnosis,0.15386393758918104,0.24434039625461634
MACKI2020,Patients,CSF-removal work-up,Tap test not completed,25,167,Referred for CSF-removal testing,Difference between 167 referred and 142 tap-tested; some may have entered overlapping ELD pathways,Derived from Results,https://doi.org/10.1093/neuros/nyaa199,0.1497005988023952,Diagnostic-test non-completion,0.09928145644895392,0.2130072102012659
MACKI2020,Patients,After surgical referral,Shunt not received,16,102,Positive tap test/referred for surgery,Reasons were not fully decomposed,Results,https://doi.org/10.1093/neuros/nyaa199,0.1568627450980392,Referral or follow-up loss,0.09240246513022488,0.24220113634734464
MARMAROU2007,Residents,Prior recognition,No prior CT/MRI documented,142,147,Age-eligible care-facility residents,Recognition/access proxy; only five had prior neuroimaging,Results,https://doi.org/10.3171/foc.2007.22.4.2,0.9659863945578231,Other / unclear,0.9224106648681317,0.988865320022974
MARMAROU2007,Patients,After prospective evaluation,Not shunted,6,17,Prospectively evaluated suspected patients,Two later died and four were unchanged at one year; reason for no surgery not fully decomposed,Results,https://doi.org/10.3171/foc.2007.22.4.2,0.35294117647058826,Other / unclear,0.14209748311022097,0.6167163365565971
ISEKI2022,Participants,Recognition/consultation,No spontaneous hospital consultation,10,11,Longitudinally detected iNPH,Symptoms were often perceived as normal aging; exact reason count was not reported separately,Results/Discussion,https://doi.org/10.1111/ane.13710,0.9090909090909091,Other / unclear,0.5872200830116174,0.9977010277861857
BREAN2008,Patients,Enrollment,Declined participation,4,86,Referrals,Research participation rather than clinical-care refusal,Results,https://doi.org/10.1111/j.1600-0404.2007.00982.x,0.046511627906976744,Patient or family preference,0.01281635242157353,0.11482549753811488
BREAN2008,Patients,Clinical inclusion,Required urinary/cognitive symptoms absent,9,81,Enrolled referrals,Did not meet study clinical inclusion,Results,https://doi.org/10.1111/j.1600-0404.2007.00982.x,0.1111111111111111,Other / unclear,0.05208352157215601,0.20047210031305107
BREAN2008,Patients,Clinical inclusion,Alternative condition explained symptoms,8,81,Enrolled referrals,Diagnostic reclassification,Results,https://doi.org/10.1111/j.1600-0404.2007.00982.x,0.09876543209876543,Diagnostic reclassification / alternative diagnosis,0.04361292729208577,0.1853640500963124
BREAN2008,Patients,Full assessment,Lumbar puncture technically impossible,1,64,Clinically included,Procedure noncompletion,Results,https://doi.org/10.1111/j.1600-0404.2007.00982.x,0.015625,Diagnostic-test non-completion,3.9551251405067767e-4,0.08401032643435369
